station_id,name,num_bicycles_available,last_reported
CAB:Station:27a0921e-b663-3cce-90bf-3ae94d715161,Traifelbergplatz / Reutlinger Str.,4,2026-05-24 23:21:19+02
CAB:Station:5eb7a03d-6fd6-3ffa-9025-7a492d1c64a9,Pragsattel / Heilbronner Str.,3,2026-05-24 23:21:19+02
CAB:Station:e9001825-0f0a-3094-b3f0-3bd1e4a4ce53,Neckartor / Neckarstr.,16,2026-05-24 23:21:19+02
CAB:Station:085d8a05-0a4c-37fc-8f62-b8d4d24009d6,ILEK / Pfaffenwaldring,1,2026-05-24 23:21:19+02
CAB:Station:6de8ab03-7bcc-3592-8e88-76e2ea4c83d6,Böheimstr. / Burgstallstr.,1,2026-05-24 23:21:19+02
CAB:Station:0494ec42-b04c-360b-8a2f-85d4a9d72247,Johann-Sebastian-Bach-Platz / Hasenbergstraße,5,2026-05-24 23:21:19+02
CAB:Station:b4e319a5-8095-39b6-8a7c-ef032ca381bb,Südheimer Platz / Böblinger Str.,8,2026-05-24 23:21:19+02
CAB:Station:185c8b62-b349-3841-9034-e40de6a8c08d,Bürgerhaus Alte Schule / Tiefenbachstraße,4,2026-05-24 23:21:19+02
CAB:Station:b77efb4c-133b-3dbd-b888-cecee05e6bd0,Konrad-Adenauer-Str. / Haus der Geschichte,4,2026-05-24 23:21:19+02
CAB:Station:88d9a4c8-1033-32d8-9dd3-8dc86f4db3dd,Theodor-Heuss-Str. / Friedrichstr.,24,2026-05-24 23:21:19+02
CAB:Station:ad9d30ff-4964-3d94-99aa-cd93b5389bd7,Wagenburgstr. / Talstr.,4,2026-05-24 23:21:19+02
CAB:Station:52a29ffa-01ca-31b7-962a-30b4375eeb6f,Bhf. Untertürkheim / Arlbergstr.,10,2026-05-24 23:21:19+02
CAB:Station:4b9c9e04-dd1b-3c3f-b88d-30980ebb4029,Botnang / Kauffmannstr.,0,2026-05-24 23:21:19+02
CAB:Station:400d3a57-0f42-30a9-9943-a0c216419f43,Breitscheidstr. / Bosch-Areal / Liederhalle,28,2026-05-24 23:21:19+02
CAB:Station:01621e21-11dd-3405-9b47-9732a8b5cb3f,Mercedes-Benz-Museum / Mercedesstr.,1,2026-05-24 23:21:19+02
CAB:Station:4bfc02f5-ed36-3e45-95b5-43eb7c79a685,Institut für Luft- und Raumfahrttechnik / Pfaffenwaldring,2,2026-05-24 23:21:19+02
CAB:Station:37b6b5c1-00a4-3b00-9ee8-44036299423f,Johannesstr. / Schloßstr.,3,2026-05-24 23:21:19+02
CAB:Station:1216b7d2-3c6f-3fe7-8e7e-5261d392ca95,Jugendherberge / Haußmannstr.,12,2026-05-24 23:21:19+02
CAB:Station:f8674bb7-1b4f-32fb-9b77-601106bb9ef0,U Bhf. Sillenbuch / Kirchheimer Straße,2,2026-05-24 23:21:19+02
CAB:Station:a7acfe5f-0f74-3c29-a9f8-ab4235cce15f,Bhf. Plieninger Str. / Plieninger Str.,0,2026-05-24 23:21:19+02
CAB:Station:bbd80e21-3792-3e43-a164-e6bd6f8e4174,Wilhelm-Geiger-Platz / Grazer Str.,8,2026-05-24 23:21:19+02
CAB:Station:343a1191-8708-3ef6-bfbd-8ad2067e55c9,Engelboldtstraße / Ruggerstraße,2,2026-05-24 23:21:19+02
CAB:Station:cd41563c-0da8-3354-be59-a0331f000943,Erwin-Schoettle-Platz / Matthäuskirche,2,2026-05-24 23:21:19+02
CAB:Station:b353c9eb-033f-3d60-8461-ef9cb79f7aa7,Lautenschlagerstr. / Zeppelin Carré,13,2026-05-24 23:21:19+02
CAB:Station:29b12978-33df-3464-ba1c-9e0da2d99570,Leharstraße / Versorgungszentrum Laihle,1,2026-05-24 23:21:19+02
CAB:Station:8c0ddd13-5fd3-3d27-9544-6f4fac1370ef,Schwabstr. / Rotebühlstr.,0,2026-05-24 23:21:19+02
CAB:Station:1eb3a08e-cd3f-341c-a3f6-4f942352480b,Bhf. Nordbahnhof / Nordbahnhofstr.,0,2026-05-24 23:21:19+02
CAB:Station:52931d1f-c51b-3e24-8553-dd24fa5b7fa6,Wilhelma / Neckartalstraße,19,2026-05-24 23:21:19+02
CAB:Station:8a6c3878-0dd7-377d-b675-82170b61c2ac,Eckartstr. / Nordbahnhofstr.,2,2026-05-24 23:21:19+02
CAB:Station:d3bdd097-551c-3ba3-b5be-3dbb64e282b2,Marienplatz / Zahnradbahn,19,2026-05-24 23:21:19+02
CAB:Station:87675b40-48f1-352c-a908-c7b7384578c5,Königstr. / Kronenstr.,13,2026-05-24 23:21:19+02
CAB:Station:157f600b-d916-3e7a-b498-beded9bd0b1e,Universität / Keplerstr.,3,2026-05-24 23:21:19+02
CAB:Station:923b5ec3-7d47-3fd0-b399-383832a5cfcc,Königstraße / Wilhelmsbau,12,2026-05-24 23:21:19+02
CAB:Station:923b5ec3-7d47-3fd0-b399-383832a5cfcc,Königstraße / Wilhelmsbau,12,2026-05-24 22:48:45+02
CAB:Station:157f600b-d916-3e7a-b498-beded9bd0b1e,Universität / Keplerstr.,3,2026-05-24 22:48:45+02
CAB:Station:87675b40-48f1-352c-a908-c7b7384578c5,Königstr. / Kronenstr.,13,2026-05-24 22:48:45+02
CAB:Station:8a6c3878-0dd7-377d-b675-82170b61c2ac,Eckartstr. / Nordbahnhofstr.,2,2026-05-24 22:48:45+02
CAB:Station:d3bdd097-551c-3ba3-b5be-3dbb64e282b2,Marienplatz / Zahnradbahn,19,2026-05-24 22:48:45+02
CAB:Station:52931d1f-c51b-3e24-8553-dd24fa5b7fa6,Wilhelma / Neckartalstraße,19,2026-05-24 22:48:45+02
CAB:Station:8c0ddd13-5fd3-3d27-9544-6f4fac1370ef,Schwabstr. / Rotebühlstr.,0,2026-05-24 22:48:45+02
CAB:Station:1eb3a08e-cd3f-341c-a3f6-4f942352480b,Bhf. Nordbahnhof / Nordbahnhofstr.,0,2026-05-24 22:48:45+02
CAB:Station:29b12978-33df-3464-ba1c-9e0da2d99570,Leharstraße / Versorgungszentrum Laihle,1,2026-05-24 22:48:45+02
CAB:Station:b353c9eb-033f-3d60-8461-ef9cb79f7aa7,Lautenschlagerstr. / Zeppelin Carré,13,2026-05-24 22:48:45+02
