station_id,name,num_bicycles_available,last_reported
NBV:Station:450006188,Käfertal - Spinelli / Völklinger Achse,3,2026-05-24 22:50:45+02
NBV:Station:260511828,Waldhof - Taunusplatz,3,2026-05-24 22:50:45+02
NBV:Station:58196168,HBf / Tattersallstraße,19,2026-05-24 22:50:45+02
NBV:Station:4726808,DHBW Mannheim - Campus Coblitzallee,1,2026-05-24 22:50:45+02
NBV:Station:24559100,Neuhermsheim - Dragonerweg,8,2026-05-24 22:50:45+02
NBV:Station:344840,Rhein-Galerie,2,2026-05-24 22:50:45+02
NBV:Station:28450596,Schwetzingerstadt - Keplerstraße,10,2026-05-24 22:50:45+02
NBV:Station:4726822,DHBW Mannheim - Campus Käfertalerstr.,3,2026-05-24 22:50:45+02
NBV:Station:38930122,Käfertal Mitte,5,2026-05-24 22:50:45+02
NBV:Station:57585948,Roche - Tor 4,4,2026-05-24 22:50:45+02
NBV:Station:29794323,Turleyplatz,5,2026-05-24 22:50:45+02
NBV:Station:11272311,Amtsgericht,3,2026-05-24 22:50:45+02
NBV:Station:28455055,Oststadt - Beethovenstraße,6,2026-05-24 22:50:45+02
NBV:Station:339346,Neckarstadt-Ost - Lange Rötterstraße,2,2026-05-24 22:50:45+02
NBV:Station:339476,Jungbusch - Jungbuschstraße,12,2026-05-24 22:50:45+02
NBV:Station:28450647,Schwetzingerstadt - Richard-Wagner-Straße,8,2026-05-24 22:50:45+02
NBV:Station:339478,Technische Hochschule Mannheim,2,2026-05-24 22:50:45+02
NBV:Station:30612231,Neckarstadt-West – Gartenfeldstraße,3,2026-05-24 22:50:45+02
NBV:Station:33282192,G1 – Marktplatz,3,2026-05-24 22:50:45+02
NBV:Station:3938985,Pfalzgrafenplatz,5,2026-05-24 22:50:45+02
NBV:Station:364019650,Lindenhofplatz / HBF Süd,17,2026-05-24 22:50:45+02
NBV:Station:30612240,Neckarstadt-West – Marchivum,9,2026-05-24 22:50:45+02
NBV:Station:393329858,Franklin - Wasserwerkstraße,3,2026-05-24 22:50:45+02
NBV:Station:339354,K1 - Kurpfalzbrücke,13,2026-05-24 22:50:45+02
NBV:Station:339475,Hauptbahnhof Mannheim,2,2026-05-24 22:50:45+02
NBV:Station:7853258,Universitätsklinik Mannheim,1,2026-05-24 22:50:45+02
NBV:Station:260511632,Waldhof -  Waldstraße / Hermann-Gutzmann-Schule,5,2026-05-24 22:50:45+02
NBV:Station:498226541,Turley - Heinrich-Wittkamp-Straße,9,2026-05-24 22:50:45+02
NBV:Station:27230871,Neckarstadt-Ost - Herzogenriedpark,5,2026-05-24 22:50:45+02
NBV:Station:339485,Schwetzingerstadt - Pestalozzischule,5,2026-05-24 22:50:45+02
NBV:Station:5582461,Oststadt Karl-Ludwig-Straße,2,2026-05-24 22:50:45+02
NBV:Station:339343,Neckarstadt - Alter Messplatz,6,2026-05-24 22:50:45+02
NBV:Station:30612225,Wohlgelegen - Ludolf-Krehl-Straße,3,2026-05-24 22:50:45+02
NBV:Station:378596026,Seckenheim - Wasserturm / Kapellenplatz,8,2026-05-24 22:50:45+02
NBV:Station:33776080,Gerd-Dehof-Platz,5,2026-05-24 22:50:45+02
NBV:Station:329695899,LU-Mitte - Benckiser Straße,1,2026-05-24 22:50:45+02
NBV:Station:378595589,Feudenheim - St. Peter & Paul Kirche,14,2026-05-24 22:50:45+02
