vehicle_id,feed_id,last_reported,geometry
DOG:Vehicle:57427cb7-e64e-4786-a229-5febdc1e60c4,dott_mannheim,2026-05-21 15:28:40+02,POINT (8.49527 49.498886)
DOG:Vehicle:ac72b01b-3a23-45d5-8251-f0e88ed4340d,dott_mannheim,2026-05-21 15:28:47+02,POINT (8.506907 49.478247)
DOG:Vehicle:4590c8ef-397c-4663-b57e-a13ca13c3a3a,dott_mannheim,2026-05-21 15:28:56+02,POINT (8.469763 49.470401)
DOG:Vehicle:ae6d8ba3-447b-45a3-bf3a-69080945f7b2,dott_mannheim,2026-05-21 15:28:57+02,POINT (8.462873 49.484804)
DOG:Vehicle:86b8d1f3-2614-4203-bfce-d0f3d65fbc3c,dott_mannheim,2026-05-21 15:28:59+02,POINT (8.467132 49.500882)
DOG:Vehicle:d7eb7b6e-9ded-47ed-b259-c6f1be288b16,dott_mannheim,2026-05-21 15:29:01+02,POINT (8.49832 49.47356)
DOG:Vehicle:00d26547-fded-4f30-8319-922dd1aa48a2,dott_mannheim,2026-05-21 15:29:08+02,POINT (8.489023 49.48804)
DOG:Vehicle:82826c2e-fc66-47b0-830e-1599443ce57e,dott_mannheim,2026-05-21 15:29:51+02,POINT (8.519547 49.478405)
DOG:Vehicle:54a5befd-4d83-4432-8d5f-ee21e7f27e1b,dott_mannheim,2026-05-21 15:29:52+02,POINT (8.470906 49.50864)
DOG:Vehicle:d511e276-e4e9-4ba3-8c50-794d20d830cc,dott_mannheim,2026-05-21 15:29:55+02,POINT (8.450353 49.479363)
DOG:Vehicle:9aaa2ec8-22af-4080-9657-bfe36d2d1671,dott_mannheim,2026-05-21 15:29:59+02,POINT (8.46558 49.488502)
DOG:Vehicle:73660140-5f44-4e80-a968-f9c4fecea18f,dott_mannheim,2026-05-21 15:30:11+02,POINT (8.491688 49.492844)
DOG:Vehicle:d59955d9-b2fa-4292-ad8d-cff01202fab0,dott_mannheim,2026-05-21 15:30:22+02,POINT (8.457665 49.497201)
DOG:Vehicle:4df995b8-3a72-4484-9735-e485e7a6d78e,dott_mannheim,2026-05-21 15:30:35+02,POINT (8.504577 49.469641)
DOG:Vehicle:a6ad7395-4087-4f4f-b1f3-a5dbdd2d1fac,dott_mannheim,2026-05-21 15:30:40+02,POINT (8.47216 49.478644)
DOG:Vehicle:04aa777c-60ea-489d-81aa-1493cf0cd44c,dott_mannheim,2026-05-21 15:30:47+02,POINT (8.489227 49.45656)
DOG:Vehicle:77817a15-91a2-4123-b3df-e18a32533299,dott_mannheim,2026-05-21 15:30:54+02,POINT (8.482392 49.459083)
DOG:Vehicle:b3a763a5-2711-4ac3-a424-2d6dd8e5a8a4,dott_mannheim,2026-05-21 15:31:02+02,POINT (8.474962 49.483046)
DOG:Vehicle:05fb7df0-ebd6-4712-a13b-b35f74c7370b,dott_mannheim,2026-05-21 15:31:17+02,POINT (8.481561 49.524698)
DOG:Vehicle:a96cc274-251d-4fde-8ca0-5a0b4a3db46c,dott_mannheim,2026-05-21 15:31:20+02,POINT (8.492343 49.456108)
DOG:Vehicle:626e9195-a9a4-45d6-9112-a3c83eefcd05,dott_mannheim,2026-05-21 15:31:21+02,POINT (8.495337 49.501046)
DOG:Vehicle:47f31cf6-63c5-48e7-b3ca-ceb3aafce69a,dott_mannheim,2026-05-21 15:31:38+02,POINT (8.455622 49.475256)
DOG:Vehicle:37b30a12-e73e-4229-8653-70b12a6cdbb7,dott_mannheim,2026-05-21 15:32:23+02,POINT (8.478826 49.520329)
DOG:Vehicle:641cb2ac-18fc-4d3b-94be-d0055a41ab98,dott_mannheim,2026-05-21 15:32:31+02,POINT (8.469731 49.508885)
DOG:Vehicle:140f70fb-5c7a-4f61-b842-1ba2931cf8a8,dott_mannheim,2026-05-21 15:32:40+02,POINT (8.475827 49.486074)
DOG:Vehicle:89979894-a288-4c75-88da-9a1193d1909a,dott_mannheim,2026-05-21 15:32:43+02,POINT (8.495342 49.4643)
DOG:Vehicle:c7303faa-4939-4889-ac2e-905c08f47db8,dott_mannheim,2026-05-21 15:32:55+02,POINT (8.486158 49.504821)
DOG:Vehicle:8142294c-8f0f-4215-92f9-10bab64ea63a,dott_mannheim,2026-05-21 15:33:04+02,POINT (8.484062 49.460999)
DOG:Vehicle:2c2fa675-e1e1-47ab-8780-6ce409fdc13e,dott_mannheim,2026-05-21 15:33:15+02,POINT (8.46605 49.463561)
DOG:Vehicle:f46cf04c-4b06-463d-8b32-2a1bb25302dd,dott_mannheim,2026-05-21 15:33:20+02,POINT (8.52026 49.51266)
DOG:Vehicle:e72f736d-f4cf-4f5f-9b54-d9bd7f092563,dott_mannheim,2026-05-21 15:33:27+02,POINT (8.488893 49.455758)
DOG:Vehicle:e1c41ac7-c7dc-4b65-8431-da9354c22041,dott_mannheim,2026-05-21 15:33:35+02,POINT (8.470204 49.484893)
DOG:Vehicle:19562c5f-905f-4783-b156-1a0ea9e2283b,dott_mannheim,2026-05-21 15:34:09+02,POINT (8.549464 49.47094)
DOG:Vehicle:874b23de-624d-4656-a5a3-b986c4dac44a,dott_mannheim,2026-05-21 15:34:18+02,POINT (8.473044 49.483095)
DOG:Vehicle:c2d85767-21f4-4c73-8ead-cf07d9a28346,dott_mannheim,2026-05-21 15:34:23+02,POINT (8.507957 49.458437)
DOG:Vehicle:6034109f-bcde-4ba0-9606-40b5575afd5a,dott_mannheim,2026-05-21 15:34:28+02,POINT (8.470754 49.50846)
DOG:Vehicle:0a0fedc8-e7a1-4b0e-bbdc-e4dbafbd41cb,dott_mannheim,2026-05-21 15:34:39+02,POINT (8.471846 49.470421)
DOG:Vehicle:c2a0ebf5-892d-4cc5-b6e5-ea4975071a53,dott_mannheim,2026-05-21 15:35:36+02,POINT (8.488797 49.48086)
DOG:Vehicle:594cb99d-b017-4305-a624-6e35a5becdbd,dott_mannheim,2026-05-21 15:35:38+02,POINT (8.505623 49.476306)
DOG:Vehicle:cc60807c-437a-496d-83e0-a97d8ef2a38d,dott_mannheim,2026-05-21 15:35:39+02,POINT (8.495499 49.464235)
DOG:Vehicle:8bc32998-863f-4c61-adaa-f237a45a687e,dott_mannheim,2026-05-21 15:35:50+02,POINT (8.500081 49.474211)
DOG:Vehicle:ff3d8c64-27c5-440d-a5cc-b0e93626eb91,dott_mannheim,2026-05-21 15:35:51+02,POINT (8.538384 49.452687)
DOG:Vehicle:f4fb21b9-8c19-43b5-92ac-f6f131472cfa,dott_mannheim,2026-05-21 15:35:55+02,POINT (8.538252 49.518343)
DOG:Vehicle:e28dde1d-2e1c-4f8e-9598-fbfe164793aa,dott_mannheim,2026-05-21 15:35:56+02,POINT (8.48929 49.480228)
DOG:Vehicle:2493740e-57c5-44c2-b5b9-b3ea6d094328,dott_mannheim,2026-05-21 15:35:58+02,POINT (8.47086 49.50842)
DOG:Vehicle:c39aaf5c-8f7a-4e35-99d4-682af7129e03,dott_mannheim,2026-05-21 15:35:58+02,POINT (8.472208 49.478533)
DOG:Vehicle:43b06a34-567a-4513-9208-38e64e095cf8,dott_mannheim,2026-05-21 15:36:02+02,POINT (8.441636 49.482297)
DOG:Vehicle:dad5af3c-ef9c-4d17-8e5f-76ede7dff823,dott_mannheim,2026-05-21 15:17:50+02,POINT (8.492645 49.493193)
DOG:Vehicle:aa9e91ce-aa79-424e-8426-58a375a54cab,dott_mannheim,2026-05-21 15:19:21+02,POINT (8.494876 49.500149)
DOG:Vehicle:1c758a91-4a30-4652-8c65-4f1e25db362a,dott_mannheim,2026-05-21 15:20:21+02,POINT (8.472277 49.50595)
DOG:Vehicle:d9adb29d-f173-4d96-9d80-537e2f39a2ea,dott_mannheim,2026-05-21 15:20:24+02,POINT (8.509318 49.496353)
DOG:Vehicle:88500b18-32fd-40ff-8192-b06bde2f890c,dott_mannheim,2026-05-21 15:21:05+02,POINT (8.47059 49.508493)
DOG:Vehicle:d64366ec-3e56-4923-8ca6-3b1c8a7d4450,dott_mannheim,2026-05-21 15:21:15+02,POINT (8.487942 49.462211)
DOG:Vehicle:b431e7ea-741e-4e73-888b-df94ff9f33ad,dott_mannheim,2026-05-21 15:21:16+02,POINT (8.452761 49.480108)
DOG:Vehicle:16a44220-66e0-4f78-95a1-999046d06c75,dott_mannheim,2026-05-21 15:21:20+02,POINT (8.466355 49.486133)
DOG:Vehicle:66e90540-2395-4219-8ff9-0e97ef4eb9fd,dott_mannheim,2026-05-21 15:21:42+02,POINT (8.471692 49.502673)
DOG:Vehicle:a97aa812-7e6e-4078-9625-94bdbdcc9f3d,dott_mannheim,2026-05-21 15:22:00+02,POINT (8.506075 49.47812)
DOG:Vehicle:d17df072-45d0-49c2-953d-b00d318b8f9d,dott_mannheim,2026-05-21 15:22:09+02,POINT (8.495342 49.464293)
DOG:Vehicle:daba5ec1-b448-4d6a-9fd2-3dfaea401adc,dott_mannheim,2026-05-21 15:22:36+02,POINT (8.485271 49.456056)
DOG:Vehicle:d28e0c0d-ac7a-4dfb-a8d5-0b7bd388fc13,dott_mannheim,2026-05-21 15:22:42+02,POINT (8.502433 49.49467)
DOG:Vehicle:fea2c12f-dabe-453e-ac0e-bb98b4d8a758,dott_mannheim,2026-05-21 15:22:49+02,POINT (8.47443 49.496679)
DOG:Vehicle:87225a55-9432-436f-b0b5-1732a849354e,dott_mannheim,2026-05-21 15:22:53+02,POINT (8.483057 49.492536)
DOG:Vehicle:405f5cd5-8dca-426f-9a82-6ded8c40d4f1,dott_mannheim,2026-05-21 15:23:01+02,POINT (8.471432 49.505419)
DOG:Vehicle:2d3bd8b2-6e88-43ed-baa5-bacb0fcd5901,dott_mannheim,2026-05-21 15:23:12+02,POINT (8.557954 49.466053)
DOG:Vehicle:e9e2dc57-91f7-4b3e-8db8-ece30f80fec5,dott_mannheim,2026-05-21 15:23:19+02,POINT (8.46814 49.482298)
DOG:Vehicle:8477ec99-1a5a-4cff-b66a-ef57041273da,dott_mannheim,2026-05-21 15:23:28+02,POINT (8.451777 49.471712)
DOG:Vehicle:f8488b5c-21a4-4ada-b945-bde37600b933,dott_mannheim,2026-05-21 15:23:28+02,POINT (8.473295 49.479835)
DOG:Vehicle:1a7f9a36-a565-4265-bab1-c491f5890019,dott_mannheim,2026-05-21 15:23:43+02,POINT (8.491381 49.493684)
DOG:Vehicle:d1d62de0-54ef-45b3-80c3-8ff55e58e182,dott_mannheim,2026-05-21 15:23:53+02,POINT (8.502529 49.492089)
DOG:Vehicle:7dbf3dd9-735b-44c6-8360-9460ede1d158,dott_mannheim,2026-05-21 15:24:04+02,POINT (8.489892 49.478449)
DOG:Vehicle:5f9839a7-8d26-42b8-af9e-7254fca4b757,dott_mannheim,2026-05-21 15:24:05+02,POINT (8.490885 49.509609)
DOG:Vehicle:98c5fa8f-356f-4b15-a137-3af712eef744,dott_mannheim,2026-05-21 15:24:15+02,POINT (8.50501 49.521862)
DOG:Vehicle:ddfa9a9c-f293-4749-8d01-d1be2bddc46f,dott_mannheim,2026-05-21 15:24:22+02,POINT (8.493279 49.496432)
DOG:Vehicle:af399ea4-ca2a-4aa6-b15e-1df15e1038fa,dott_mannheim,2026-05-21 15:24:24+02,POINT (8.502466 49.502615)
DOG:Vehicle:639fb438-f703-413a-9c1e-d3d10a28fccc,dott_mannheim,2026-05-21 15:24:38+02,POINT (8.470789 49.482438)
DOG:Vehicle:f8bd6a8d-7d2d-4bdc-9bd9-7c11b789900c,dott_mannheim,2026-05-21 15:24:43+02,POINT (8.498274 49.453619)
DOG:Vehicle:3ebd0eab-e031-4cf6-b770-dbb98b459fbd,dott_mannheim,2026-05-21 15:24:45+02,POINT (8.509283 49.46932)
DOG:Vehicle:e829d80c-b50d-4156-bc0b-799c54be6987,dott_mannheim,2026-05-21 15:24:47+02,POINT (8.472356 49.487365)
DOG:Vehicle:4cfc4659-8a82-42c6-a1e1-d3c70068f4e1,dott_mannheim,2026-05-21 15:25:01+02,POINT (8.485318 49.525664)
DOG:Vehicle:97e88e98-8e78-4080-bed2-80f2048e0a02,dott_mannheim,2026-05-21 15:25:27+02,POINT (8.468308 49.487781)
DOG:Vehicle:dcce88e1-45b3-417b-9dc1-ef16fa137fa8,dott_mannheim,2026-05-21 15:25:39+02,POINT (8.486724 49.465422)
DOG:Vehicle:b0085c5c-6537-4b6d-9f4d-2a9397c772cc,dott_mannheim,2026-05-21 15:25:48+02,POINT (8.502531 49.494718)
DOG:Vehicle:ae00f286-f425-41b1-8798-6737eb9be751,dott_mannheim,2026-05-21 15:26:05+02,POINT (8.473404 49.479454)
DOG:Vehicle:6f63d6a2-3e71-4c7f-ab44-ce2c4ec12c01,dott_mannheim,2026-05-21 15:26:17+02,POINT (8.489958 49.452532)
DOG:Vehicle:3ab32440-155e-4d8f-9cd6-3bd04b186009,dott_mannheim,2026-05-21 15:26:21+02,POINT (8.487505 49.504725)
