_id,FID,feed_id,station_id,name,capacity,is_virtual_station,num_cars_available,num_bicycles_available,num_scooters_available,num_cargo_bicycles_available,num_mopeds_available,rental_uris_android,rental_uris_ios,rental_uris_web,last_reported,realtime_data_outdated,geometry,datastore_updated_at,lon,lat
38808778,sharing_stations.NBV:Station:148606240,nextbike_vn,NBV:Station:148606240,A1 - Landgericht/Universität,,f,,2,,4.0,,https://app.nextbike.net/station?id=148606240,https://app.nextbike.net/station?id=148606240,https://nxtb.it/p/148606240,2026-05-24 18:58:24+02,f,POINT (8.462552 49.484796),2026-05-24 19:01:41+02,8.462552,49.484796
38808995,sharing_stations.NBV:Station:339475,nextbike_vn,NBV:Station:339475,Hauptbahnhof Mannheim,60.0,f,,3,,,,https://app.nextbike.net/station?id=339475,https://app.nextbike.net/station?id=339475,https://nxtb.it/p/339475,2026-05-24 18:58:24+02,f,POINT (8.469749 49.47996),2026-05-24 19:01:41+02,8.469749,49.47996
38809000,sharing_stations.NBV:Station:7853258,nextbike_vn,NBV:Station:7853258,Universitätsklinik Mannheim,,f,,1,,,,https://app.nextbike.net/station?id=7853258,https://app.nextbike.net/station?id=7853258,https://nxtb.it/p/7853258,2026-05-24 18:58:24+02,f,POINT (8.482906 49.492344),2026-05-24 19:01:41+02,8.482906,49.492344
38809026,sharing_stations.NBV:Station:364019650,nextbike_vn,NBV:Station:364019650,Lindenhofplatz / HBF Süd,,f,,20,,,,https://app.nextbike.net/station?id=364019650,https://app.nextbike.net/station?id=364019650,https://nxtb.it/p/364019650,2026-05-24 18:58:24+02,f,POINT (8.467814 49.477839),2026-05-24 19:01:41+02,8.467814,49.477839
38809050,sharing_stations.NBV:Station:339478,nextbike_vn,NBV:Station:339478,Technische Hochschule Mannheim,10.0,f,,1,,,,https://app.nextbike.net/station?id=339478,https://app.nextbike.net/station?id=339478,https://nxtb.it/p/339478,2026-05-24 18:58:24+02,f,POINT (8.482255 49.470261),2026-05-24 19:01:41+02,8.482255,49.470261
38805552,sharing_stations.NBV:Station:339478,nextbike_vn,NBV:Station:339478,Technische Hochschule Mannheim,10.0,f,,3,,,,https://app.nextbike.net/station?id=339478,https://app.nextbike.net/station?id=339478,https://nxtb.it/p/339478,2026-05-24 18:25:32+02,f,POINT (8.482255 49.470261),2026-05-24 18:28:52+02,8.482255,49.470261
38805588,sharing_stations.NBV:Station:364019650,nextbike_vn,NBV:Station:364019650,Lindenhofplatz / HBF Süd,,f,,24,,,,https://app.nextbike.net/station?id=364019650,https://app.nextbike.net/station?id=364019650,https://nxtb.it/p/364019650,2026-05-24 18:25:32+02,f,POINT (8.467814 49.477839),2026-05-24 18:28:52+02,8.467814,49.477839
38805612,sharing_stations.NBV:Station:339475,nextbike_vn,NBV:Station:339475,Hauptbahnhof Mannheim,60.0,f,,3,,,,https://app.nextbike.net/station?id=339475,https://app.nextbike.net/station?id=339475,https://nxtb.it/p/339475,2026-05-24 18:25:32+02,f,POINT (8.469749 49.47996),2026-05-24 18:28:52+02,8.469749,49.47996
38805619,sharing_stations.NBV:Station:7853258,nextbike_vn,NBV:Station:7853258,Universitätsklinik Mannheim,,f,,2,,,,https://app.nextbike.net/station?id=7853258,https://app.nextbike.net/station?id=7853258,https://nxtb.it/p/7853258,2026-05-24 18:25:32+02,f,POINT (8.482906 49.492344),2026-05-24 18:28:52+02,8.482906,49.492344
38805839,sharing_stations.NBV:Station:148606240,nextbike_vn,NBV:Station:148606240,A1 - Landgericht/Universität,,f,,4,,4.0,,https://app.nextbike.net/station?id=148606240,https://app.nextbike.net/station?id=148606240,https://nxtb.it/p/148606240,2026-05-24 18:25:32+02,f,POINT (8.462552 49.484796),2026-05-24 18:28:52+02,8.462552,49.484796
38805905,sharing_stations.NBV:Station:660951,nextbike_vn,NBV:Station:660951,Universität Schloss,10.0,f,,43,,,,https://app.nextbike.net/station?id=660951,https://app.nextbike.net/station?id=660951,https://nxtb.it/p/660951,2026-05-24 18:25:32+02,f,POINT (8.463303 49.48275),2026-05-24 18:28:52+02,8.463303,49.48275
38801989,sharing_stations.NBV:Station:148606240,nextbike_vn,NBV:Station:148606240,A1 - Landgericht/Universität,,f,,9,,4.0,,https://app.nextbike.net/station?id=148606240,https://app.nextbike.net/station?id=148606240,https://nxtb.it/p/148606240,2026-05-24 17:52:26+02,f,POINT (8.462552 49.484796),2026-05-24 17:54:59+02,8.462552,49.484796
38802001,sharing_stations.NBV:Station:660951,nextbike_vn,NBV:Station:660951,Universität Schloss,10.0,f,,52,,,,https://app.nextbike.net/station?id=660951,https://app.nextbike.net/station?id=660951,https://nxtb.it/p/660951,2026-05-24 17:52:26+02,f,POINT (8.463303 49.48275),2026-05-24 17:54:59+02,8.463303,49.48275
38802223,sharing_stations.NBV:Station:364019650,nextbike_vn,NBV:Station:364019650,Lindenhofplatz / HBF Süd,,f,,20,,,,https://app.nextbike.net/station?id=364019650,https://app.nextbike.net/station?id=364019650,https://nxtb.it/p/364019650,2026-05-24 17:52:26+02,f,POINT (8.467814 49.477839),2026-05-24 17:54:59+02,8.467814,49.477839
38802237,sharing_stations.NBV:Station:339478,nextbike_vn,NBV:Station:339478,Technische Hochschule Mannheim,10.0,f,,3,,,,https://app.nextbike.net/station?id=339478,https://app.nextbike.net/station?id=339478,https://nxtb.it/p/339478,2026-05-24 17:52:26+02,f,POINT (8.482255 49.470261),2026-05-24 17:54:59+02,8.482255,49.470261
38802282,sharing_stations.NBV:Station:339475,nextbike_vn,NBV:Station:339475,Hauptbahnhof Mannheim,60.0,f,,2,,,,https://app.nextbike.net/station?id=339475,https://app.nextbike.net/station?id=339475,https://nxtb.it/p/339475,2026-05-24 17:52:26+02,f,POINT (8.469749 49.47996),2026-05-24 17:54:59+02,8.469749,49.47996
38802288,sharing_stations.NBV:Station:7853258,nextbike_vn,NBV:Station:7853258,Universitätsklinik Mannheim,,f,,2,,,,https://app.nextbike.net/station?id=7853258,https://app.nextbike.net/station?id=7853258,https://nxtb.it/p/7853258,2026-05-24 17:52:26+02,f,POINT (8.482906 49.492344),2026-05-24 17:54:59+02,8.482906,49.492344
38798773,sharing_stations.NBV:Station:148606240,nextbike_vn,NBV:Station:148606240,A1 - Landgericht/Universität,,f,,12,,4.0,,https://app.nextbike.net/station?id=148606240,https://app.nextbike.net/station?id=148606240,https://nxtb.it/p/148606240,2026-05-24 17:18:05+02,f,POINT (8.462552 49.484796),2026-05-24 17:20:44+02,8.462552,49.484796
38798788,sharing_stations.NBV:Station:339468,nextbike_vn,NBV:Station:339468,Universität Mensa,10.0,f,,1,,,,https://app.nextbike.net/station?id=339468,https://app.nextbike.net/station?id=339468,https://nxtb.it/p/339468,2026-05-24 17:18:05+02,f,POINT (8.459859 49.484576),2026-05-24 17:20:44+02,8.459859,49.484576
38798851,sharing_stations.NBV:Station:660951,nextbike_vn,NBV:Station:660951,Universität Schloss,10.0,f,,55,,,,https://app.nextbike.net/station?id=660951,https://app.nextbike.net/station?id=660951,https://nxtb.it/p/660951,2026-05-24 17:18:05+02,f,POINT (8.463303 49.48275),2026-05-24 17:20:44+02,8.463303,49.48275
38799063,sharing_stations.NBV:Station:339478,nextbike_vn,NBV:Station:339478,Technische Hochschule Mannheim,10.0,f,,2,,,,https://app.nextbike.net/station?id=339478,https://app.nextbike.net/station?id=339478,https://nxtb.it/p/339478,2026-05-24 17:18:05+02,f,POINT (8.482255 49.470261),2026-05-24 17:20:44+02,8.482255,49.470261
38799087,sharing_stations.NBV:Station:364019650,nextbike_vn,NBV:Station:364019650,Lindenhofplatz / HBF Süd,,f,,22,,,,https://app.nextbike.net/station?id=364019650,https://app.nextbike.net/station?id=364019650,https://nxtb.it/p/364019650,2026-05-24 17:18:05+02,f,POINT (8.467814 49.477839),2026-05-24 17:20:44+02,8.467814,49.477839
38799127,sharing_stations.NBV:Station:7853258,nextbike_vn,NBV:Station:7853258,Universitätsklinik Mannheim,,f,,4,,,,https://app.nextbike.net/station?id=7853258,https://app.nextbike.net/station?id=7853258,https://nxtb.it/p/7853258,2026-05-24 17:18:05+02,f,POINT (8.482906 49.492344),2026-05-24 17:20:44+02,8.482906,49.492344
38795238,sharing_stations.NBV:Station:148606240,nextbike_vn,NBV:Station:148606240,A1 - Landgericht/Universität,,f,,17,,4.0,,https://app.nextbike.net/station?id=148606240,https://app.nextbike.net/station?id=148606240,https://nxtb.it/p/148606240,2026-05-24 16:43:21+02,f,POINT (8.462552 49.484796),2026-05-24 16:46:55+02,8.462552,49.484796
38795249,sharing_stations.NBV:Station:339468,nextbike_vn,NBV:Station:339468,Universität Mensa,10.0,f,,2,,,,https://app.nextbike.net/station?id=339468,https://app.nextbike.net/station?id=339468,https://nxtb.it/p/339468,2026-05-24 16:43:21+02,f,POINT (8.459859 49.484576),2026-05-24 16:46:55+02,8.459859,49.484576
38795316,sharing_stations.NBV:Station:660951,nextbike_vn,NBV:Station:660951,Universität Schloss,10.0,f,,56,,,,https://app.nextbike.net/station?id=660951,https://app.nextbike.net/station?id=660951,https://nxtb.it/p/660951,2026-05-24 16:43:21+02,f,POINT (8.463303 49.48275),2026-05-24 16:46:55+02,8.463303,49.48275
38795525,sharing_stations.NBV:Station:339478,nextbike_vn,NBV:Station:339478,Technische Hochschule Mannheim,10.0,f,,2,,,,https://app.nextbike.net/station?id=339478,https://app.nextbike.net/station?id=339478,https://nxtb.it/p/339478,2026-05-24 16:43:21+02,f,POINT (8.482255 49.470261),2026-05-24 16:46:55+02,8.482255,49.470261
38795559,sharing_stations.NBV:Station:364019650,nextbike_vn,NBV:Station:364019650,Lindenhofplatz / HBF Süd,,f,,20,,,,https://app.nextbike.net/station?id=364019650,https://app.nextbike.net/station?id=364019650,https://nxtb.it/p/364019650,2026-05-24 16:43:21+02,f,POINT (8.467814 49.477839),2026-05-24 16:46:55+02,8.467814,49.477839
38795591,sharing_stations.NBV:Station:339475,nextbike_vn,NBV:Station:339475,Hauptbahnhof Mannheim,60.0,f,,5,,,,https://app.nextbike.net/station?id=339475,https://app.nextbike.net/station?id=339475,https://nxtb.it/p/339475,2026-05-24 16:43:21+02,f,POINT (8.469749 49.47996),2026-05-24 16:46:55+02,8.469749,49.47996
38795595,sharing_stations.NBV:Station:7853258,nextbike_vn,NBV:Station:7853258,Universitätsklinik Mannheim,,f,,2,,,,https://app.nextbike.net/station?id=7853258,https://app.nextbike.net/station?id=7853258,https://nxtb.it/p/7853258,2026-05-24 16:43:21+02,f,POINT (8.482906 49.492344),2026-05-24 16:46:55+02,8.482906,49.492344
38791424,sharing_stations.NBV:Station:339468,nextbike_vn,NBV:Station:339468,Universität Mensa,10.0,f,,3,,,,https://app.nextbike.net/station?id=339468,https://app.nextbike.net/station?id=339468,https://nxtb.it/p/339468,2026-05-24 16:11:31+02,f,POINT (8.459859 49.484576),2026-05-24 16:13:33+02,8.459859,49.484576
38791434,sharing_stations.NBV:Station:148606240,nextbike_vn,NBV:Station:148606240,A1 - Landgericht/Universität,,f,,17,,4.0,,https://app.nextbike.net/station?id=148606240,https://app.nextbike.net/station?id=148606240,https://nxtb.it/p/148606240,2026-05-24 16:11:31+02,f,POINT (8.462552 49.484796),2026-05-24 16:13:33+02,8.462552,49.484796
